ins_name,duration,log_time
API_BE_1,1268,2022-10-01 00:00:00
API_BE_2,1897,2022-10-01 00:00:00
API_BE_3,937,2022-10-01 00:00:00
INFRA_BE_1,1647,2022-10-01 00:00:00
INFRA_BE_2,845,2022-10-01 00:00:00
INFRA_BE_3,295,2022-10-01 00:00:00
API_BE_1,729,2022-10-01 00:30:00
API_BE_2,494,2022-10-01 00:30:00
API_BE_3,900,2022-10-01 00:30:00
INFRA_BE_1,644,2022-10-01 00:30:00
INFRA_BE_2,152,2022-10-01 00:30:00
INFRA_BE_3,810,2022-10-01 00:30:00
API_BE_1,128,2022-10-01 01:00:00
API_BE_2,850,2022-10-01 01:00:00
API_BE_3,1882,2022-10-01 01:00:00
INFRA_BE_1,599,2022-10-01 01:00:00
INFRA_BE_2,629,2022-10-01 01:00:00
INFRA_BE_3,818,2022-10-01 01:00:00
API_BE_1,405,2022-10-01 01:30:00
API_BE_2,405,2022-10-01 01:30:00
API_BE_3,739,2022-10-01 01:30:00
INFRA_BE_1,970,2022-10-01 01:30:00
INFRA_BE_2,165,2022-10-01 01:30:00
INFRA_BE_3,1292,2022-10-01 01:30:00
API_BE_1,686,2022-10-01 02:00:00
API_BE_2,216,2022-10-01 02:00:00
API_BE_3,789,2022-10-01 02:00:00
INFRA_BE_1,900,2022-10-01 02:00:00
INFRA_BE_2,271,2022-10-01 02:00:00
INFRA_BE_3,1770,2022-10-01 02:00:00
API_BE_1,720,2022-10-01 02:30:00
API_BE_2,226,2022-10-01 02:30:00
API_BE_3,395,2022-10-01 02:30:00
INFRA_BE_1,866,2022-10-01 02:30:00
INFRA_BE_2,457,2022-10-01 02:30:00
INFRA_BE_3,694,2022-10-01 02:30:00
API_BE_1,228,2022-10-01 03:00:00
API_BE_2,948,2022-10-01 03:00:00
API_BE_3,898,2022-10-01 03:00:00
INFRA_BE_1,325,2022-10-01 03:00:00
INFRA_BE_2,311,2022-10-01 03:00:00
INFRA_BE_3,611,2022-10-01 03:00:00
API_BE_1,527,2022-10-01 03:30:00
API_BE_2,841,2022-10-01 03:30:00
API_BE_3,265,2022-10-01 03:30:00
INFRA_BE_1,422,2022-10-01 03:30:00
INFRA_BE_2,828,2022-10-01 03:30:00
INFRA_BE_3,571,2022-10-01 03:30:00
API_BE_1,981,2022-10-01 04:00:00
API_BE_2,881,2022-10-01 04:00:00
API_BE_3,636,2022-10-01 04:00:00
INFRA_BE_1,549,2022-10-01 04:00:00
INFRA_BE_2,908,2022-10-01 04:00:00
INFRA_BE_3,714,2022-10-01 04:00:00
API_BE_1,444,2022-10-01 04:30:00
API_BE_2,972,2022-10-01 04:30:00
API_BE_3,877,2022-10-01 04:30:00
INFRA_BE_1,658,2022-10-01 04:30:00
INFRA_BE_2,795,2022-10-01 04:30:00
INFRA_BE_3,501,2022-10-01 04:30:00
API_BE_1,424,2022-10-01 05:00:00
API_BE_2,612,2022-10-01 05:00:00
API_BE_3,117,2022-10-01 05:00:00
INFRA_BE_1,216,2022-10-01 05:00:00
INFRA_BE_2,528,2022-10-01 05:00:00
INFRA_BE_3,1824,2022-10-01 05:00:00
API_BE_1,865,2022-10-01 05:30:00
API_BE_2,288,2022-10-01 05:30:00
API_BE_3,335,2022-10-01 05:30:00
INFRA_BE_1,281,2022-10-01 05:30:00
INFRA_BE_2,291,2022-10-01 05:30:00
INFRA_BE_3,146,2022-10-01 05:30:00
API_BE_1,853,2022-10-01 06:00:00
API_BE_2,130,2022-10-01 06:00:00
API_BE_3,1905,2022-10-01 06:00:00
INFRA_BE_1,358,2022-10-01 06:00:00
INFRA_BE_2,829,2022-10-01 06:00:00
INFRA_BE_3,311,2022-10-01 06:00:00
API_BE_1,199,2022-10-01 06:30:00
API_BE_2,756,2022-10-01 06:30:00
API_BE_3,503,2022-10-01 06:30:00
INFRA_BE_1,911,2022-10-01 06:30:00
INFRA_BE_2,352,2022-10-01 06:30:00
INFRA_BE_3,775,2022-10-01 06:30:00
API_BE_1,702,2022-10-01 07:00:00
API_BE_2,732,2022-10-01 07:00:00
API_BE_3,144,2022-10-01 07:00:00
INFRA_BE_1,605,2022-10-01 07:00:00
INFRA_BE_2,128,2022-10-01 07:00:00
INFRA_BE_3,324,2022-10-01 07:00:00
API_BE_1,741,2022-10-01 07:30:00
API_BE_2,738,2022-10-01 07:30:00
API_BE_3,924,2022-10-01 07:30:00
INFRA_BE_1,376,2022-10-01 07:30:00
INFRA_BE_2,221,2022-10-01 07:30:00
INFRA_BE_3,314,2022-10-01 07:30:00
API_BE_1,654,2022-10-01 08:00:00
API_BE_2,150,2022-10-01 08:00:00
API_BE_3,980,2022-10-01 08:00:00
INFRA_BE_1,144,2022-10-01 08:00:00
INFRA_BE_2,837,2022-10-01 08:00:00
INFRA_BE_3,986,2022-10-01 08:00:00
API_BE_1,779,2022-10-01 08:30:00
API_BE_2,205,2022-10-01 08:30:00
API_BE_3,694,2022-10-01 08:30:00
INFRA_BE_1,783,2022-10-01 08:30:00
INFRA_BE_2,303,2022-10-01 08:30:00
INFRA_BE_3,125,2022-10-01 08:30:00
API_BE_1,538,2022-10-01 09:00:00
API_BE_2,113,2022-10-01 09:00:00
API_BE_3,1699,2022-10-01 09:00:00
INFRA_BE_1,967,2022-10-01 09:00:00
INFRA_BE_2,153,2022-10-01 09:00:00
INFRA_BE_3,984,2022-10-01 09:00:00
API_BE_1,189,2022-10-01 09:30:00
API_BE_2,467,2022-10-01 09:30:00
API_BE_3,299,2022-10-01 09:30:00
INFRA_BE_1,840,2022-10-01 09:30:00
INFRA_BE_2,420,2022-10-01 09:30:00
INFRA_BE_3,729,2022-10-01 09:30:00
API_BE_1,669,2022-10-01 10:00:00
API_BE_2,343,2022-10-01 10:00:00
API_BE_3,830,2022-10-01 10:00:00
INFRA_BE_1,190,2022-10-01 10:00:00
INFRA_BE_2,735,2022-10-01 10:00:00
INFRA_BE_3,431,2022-10-01 10:00:00
API_BE_1,265,2022-10-01 10:30:00
API_BE_2,783,2022-10-01 10:30:00
API_BE_3,831,2022-10-01 10:30:00
INFRA_BE_1,838,2022-10-01 10:30:00
INFRA_BE_2,180,2022-10-01 10:30:00
INFRA_BE_3,154,2022-10-01 10:30:00
API_BE_1,947,2022-10-01 11:00:00
