product,traffic,basedate
game-comm.net,946000,2022-10-01
weather-info.co.kr,143000,2022-10-01
style-share.ai,327000,2022-10-01
dev-stack.io,650000,2022-10-01
donate.org,553000,2022-10-01
my-sns.com,981000,2022-10-01
my-shopping.com,848000,2022-10-01
style-share.ai,285000,2022-10-01
game-comm.net,520000,2022-10-02
weather-info.co.kr,487000,2022-10-02
style-share.ai,175000,2022-10-02
dev-stack.io,685000,2022-10-02
donate.org,521000,2022-10-02
my-sns.com,771000,2022-10-02
my-shopping.com,1885000,2022-10-02
style-share.ai,816000,2022-10-02
game-comm.net,923000,2022-10-03
weather-info.co.kr,660000,2022-10-03
style-share.ai,723000,2022-10-03
dev-stack.io,418000,2022-10-03
donate.org,748000,2022-10-03
my-sns.com,901000,2022-10-03
my-shopping.com,451000,2022-10-03
style-share.ai,1644000,2022-10-03
game-comm.net,437000,2022-10-04
weather-info.co.kr,429000,2022-10-04
style-share.ai,871000,2022-10-04
dev-stack.io,106000,2022-10-04
donate.org,189000,2022-10-04
my-sns.com,196000,2022-10-04
my-shopping.com,118000,2022-10-04
style-share.ai,390000,2022-10-04
game-comm.net,802000,2022-10-05
weather-info.co.kr,386000,2022-10-05
style-share.ai,402000,2022-10-05
dev-stack.io,662000,2022-10-05
donate.org,720000,2022-10-05
my-sns.com,265000,2022-10-05
my-shopping.com,901000,2022-10-05
style-share.ai,743000,2022-10-05
game-comm.net,158000,2022-10-06
weather-info.co.kr,842000,2022-10-06
style-share.ai,613000,2022-10-06
dev-stack.io,233000,2022-10-06
donate.org,254000,2022-10-06
my-sns.com,292000,2022-10-06
my-shopping.com,298000,2022-10-06
style-share.ai,171000,2022-10-06
game-comm.net,989000,2022-10-07
weather-info.co.kr,1793000,2022-10-07
style-share.ai,185000,2022-10-07
dev-stack.io,197000,2022-10-07
donate.org,278000,2022-10-07
my-sns.com,145000,2022-10-07
my-shopping.com,287000,2022-10-07
style-share.ai,936000,2022-10-07
game-comm.net,571000,2022-10-08
weather-info.co.kr,539000,2022-10-08
style-share.ai,258000,2022-10-08
dev-stack.io,542000,2022-10-08
donate.org,295000,2022-10-08
my-sns.com,598000,2022-10-08
my-shopping.com,930000,2022-10-08
style-share.ai,827000,2022-10-08
game-comm.net,1303000,2022-10-09
weather-info.co.kr,671000,2022-10-09
style-share.ai,123000,2022-10-09
dev-stack.io,519000,2022-10-09
donate.org,119000,2022-10-09
my-sns.com,88000,2022-10-09
my-shopping.com,557000,2022-10-09
style-share.ai,968000,2022-10-09
game-comm.net,972000,2022-10-10
weather-info.co.kr,454000,2022-10-10
style-share.ai,576000,2022-10-10
dev-stack.io,490000,2022-10-10
donate.org,625000,2022-10-10
my-sns.com,748000,2022-10-10
my-shopping.com,178000,2022-10-10
style-share.ai,794000,2022-10-10
game-comm.net,916000,2022-10-11
weather-info.co.kr,909000,2022-10-11
style-share.ai,326000,2022-10-11
dev-stack.io,194000,2022-10-11
donate.org,584000,2022-10-11
my-sns.com,646000,2022-10-11
my-shopping.com,336000,2022-10-11
style-share.ai,740000,2022-10-11
game-comm.net,157000,2022-10-12
weather-info.co.kr,450000,2022-10-12
style-share.ai,924000,2022-10-12
dev-stack.io,847000,2022-10-12
donate.org,118000,2022-10-12
my-sns.com,330000,2022-10-12
my-shopping.com,140000,2022-10-12
style-share.ai,637000,2022-10-12
game-comm.net,517000,2022-10-13
weather-info.co.kr,625000,2022-10-13
style-share.ai,1806000,2022-10-13
dev-stack.io,482000,2022-10-13
donate.org,156000,2022-10-13
my-sns.com,840000,2022-10-13
